Pais,Data,Decklist,Evento,Formato,Heroi,Resultado,Link do deck,Tipo de evento
Canada,05 Mar 2026,"Yuki Lee Bender – Teklovossen, Esteemed Magnate – Masterclass",Masterclass,Classic Constructed,"Teklovossen, Esteemed Magnate",nao informado,https://fabtcg.com/decklists/yuki-lee-bender-teklovossen-esteemed-magnate-masterclass/,masterclass
United States of America,01 Mar 2026,Brodie Spurlock – Briar – Sunday Showdown: Montréal,Sunday Showdown: Montréal,Silver Age,Briar,1st,https://fabtcg.com/decklists/brodie-spurlock-briar-world-tour-montreal-sunday-showdown/,sunday showdown
Canada,01 Mar 2026,Vincent Henault – Briar – Sunday Showdown: Montréal,Sunday Showdown: Montréal,Silver Age,Briar,2nd,https://fabtcg.com/decklists/vincent-henault-briar-world-tour-montreal-sunday-showdown/,sunday showdown
Canada,01 Mar 2026,Henry Rebellati-Mitnick – Lexi – Sunday Showdown: Montréal,Sunday Showdown: Montréal,Silver Age,Lexi,3rd,https://fabtcg.com/decklists/henry-rebellati-mitnick-lexi-world-tour-montreal-sunday-showdown/,sunday showdown
Canada,01 Mar 2026,Mat Himmelman – Oldhim – Sunday Showdown: Montréal,Sunday Showdown: Montréal,Silver Age,Oldhim,3rd,https://fabtcg.com/decklists/mat-himmelman-oldhim-world-tour-montreal-sunday-showdown/,sunday showdown
United States of America,01 Mar 2026,Michael Feng – Briar – Sunday Showdown: Montréal,Sunday Showdown: Montréal,Silver Age,Briar,5th,https://fabtcg.com/decklists/michael-feng-briar-world-tour-montreal-sunday-showdown/,sunday showdown
Canada,01 Mar 2026,Daniel Dreisziger – Kayo – Sunday Showdown: Montréal,Sunday Showdown: Montréal,Silver Age,Kayo,5th,https://fabtcg.com/decklists/daniel-dreisziger-kayo-world-tour-montreal-sunday-showdown/,sunday showdown
United States of America,01 Mar 2026,Adam Kershaw – Kayo – Sunday Showdown: Montréal,Sunday Showdown: Montréal,Silver Age,Kayo,5th,https://fabtcg.com/decklists/adam-kershaw-kayo-world-tour-montreal-sunday-showdown/,sunday showdown
Canada,01 Mar 2026,Bobby Bourque – Lexi – Sunday Showdown: Montréal,Sunday Showdown: Montréal,Silver Age,Lexi,5th,https://fabtcg.com/decklists/bobby-bourque-lexi-world-tour-montreal-sunday-showdown/,sunday showdown
United States of America,28 Feb 2026,Connor Bryant – Dash I/O – Calling: Montréal,Calling: Montréal,Classic Constructed,Dash I/O,1st,https://fabtcg.com/decklists/connor-bryant-dash-io-calling-montreal-2026/,calling
United States of America,28 Feb 2026,"June Lekstutis – Vynnset, Iron Maiden – Calling: Montréal",Calling: Montréal,Classic Constructed,"Vynnset, Iron Maiden",2nd,https://fabtcg.com/decklists/june-lekstutis-vynnset-iron-maiden-calling-montreal-2026/,calling
United States of America,28 Feb 2026,"Wesley Dong – Kayo, Armed and Dangerous – Calling: Montréal",Calling: Montréal,Classic Constructed,"Kayo, Armed and Dangerous",3rd,https://fabtcg.com/decklists/wesley-dong-kayo-armed-and-dangerous-calling-montreal-2026/,calling
Canada,28 Feb 2026,"Nauris Rozenfelds – Ira, Scarlet Revenger – Calling: Montréal",Calling: Montréal,Classic Constructed,"Ira, Scarlet Revenger",3rd,https://fabtcg.com/decklists/nauris-rozenfelds-ira-scarlet-revenger-calling-montreal-2026/,calling
United States of America,28 Feb 2026,"Jo Burch – Oscilio, Constella Intelligence – Calling: Montréal",Calling: Montréal,Classic Constructed,"Oscilio, Constella Intelligence",5th,https://fabtcg.com/decklists/jo-burch-oscilio-constella-intelligence-calling-montreal-2026/,calling
United States of America,28 Feb 2026,"Michael Hamilton – Oscilio, Constella Intelligence – Calling: Montréal",Calling: Montréal,Classic Constructed,"Oscilio, Constella Intelligence",5th,https://fabtcg.com/decklists/michael-hamilton-oscilio-constella-intelligence-calling-montreal-2026/,calling
United States of America,28 Feb 2026,"Naib Mobassir – Fai, Rising Rebellion – Calling: Montréal",Calling: Montréal,Classic Constructed,"Fai, Rising Rebellion",5th,https://fabtcg.com/decklists/naib-mobassir-fai-rising-rebellion-calling-montreal-2026/,calling
Canada,28 Feb 2026,Joseph Surowaniec – Dorinthea Ironsong – Calling: Montréal,Calling: Montréal,Classic Constructed,Dorinthea Ironsong,5th,https://fabtcg.com/decklists/joseph-surowaniec-dorinthea-ironsong-calling-montreal-2026/,calling
Japan,21 Feb 2026,智彰 吉村 – Enigma – Heroes Scramble,ヒーローズスクランブル大阪,Silver Age,Enigma,1st,https://fabtcg.com/decklists/enigma/,outro
Japan,21 Feb 2026,"Masaaki Ochi – Ira, Crimson Haze – Heroes Scramble",ヒーローズスクランブル大阪,Silver Age,"Ira, Crimson Haze",2nd,https://fabtcg.com/decklists/masaaki-ochi-ira-crimson-haze/,outro
Japan,21 Feb 2026,Shoki Imacho – Oldhim – Heroes Scramble,ヒーローズスクランブル大阪,Silver Age,Oldhim,5th,https://fabtcg.com/decklists/shoki-imacho-oldhim/,outro
Philippines,20 Feb 2026,Justin Cu – Lyath Goldmane – Primed to Fight,Primed to Fight,Silver Age,Lyath Goldmane,nao informado,https://fabtcg.com/decklists/justin-cu-lyath-goldmane-primed-to-fight/,primed to fight
Philippines,20 Feb 2026,Justin Cu – Zen – Primed to Fight,Primed to Fight,Silver Age,Zen,nao informado,https://fabtcg.com/decklists/justin-cu-zen-primed-to-fight/,primed to fight
United States of America,15 Feb 2026,Ryan Brown – Kano – Sunday Showdown: San Diego,Sunday Showdown: San Diego,Silver Age,Kano,1st,https://fabtcg.com/decklists/ryan-brown-kano-sunday-9am-showdown/,sunday showdown
United States of America,15 Feb 2026,Josh Lind – Dorinthea – Sunday Showdown: San Diego,Sunday Showdown: San Diego,Silver Age,Dorinthea,2nd,https://fabtcg.com/decklists/josh-lind-dorinthea-sunday-9am-showdown-2/,sunday showdown
United States of America,15 Feb 2026,John Kim – Briar – Sunday Showdown: San Diego,Sunday Showdown: San Diego,Silver Age,Briar,3rd,https://fabtcg.com/decklists/john-kim-briar-sunday-9am-showdown/,sunday showdown
Canada,15 Feb 2026,Michael Jaszczur – Kano – Sunday Showdown: San Diego,Sunday Showdown: San Diego,Silver Age,Kano,3rd,https://fabtcg.com/decklists/michael-jaszczur-kano-sunday-9am-showdown/,sunday showdown
United States of America,15 Feb 2026,Thomas Huynh – Enigma – Sunday Showdown: San Diego,Sunday Showdown: San Diego,Silver Age,Enigma,5th,https://fabtcg.com/decklists/thomas-huynh-enigma-sunday-9am-showdown/,sunday showdown
United States of America,15 Feb 2026,Zayne Johnson – Briar – Sunday Showdown: San Diego,Sunday Showdown: San Diego,Silver Age,Briar,5th,https://fabtcg.com/decklists/zayne-johnson-briar-sunday-9am-showdown/,sunday showdown
United States of America,15 Feb 2026,Zachary Wallach – Kayo – Sunday Showdown: San Diego,Sunday Showdown: San Diego,Silver Age,Kayo,5th,https://fabtcg.com/decklists/zachary-wallach-kayo-sunday-9am-showdown/,sunday showdown
United States of America,15 Feb 2026,Dennis Pham – Dorinthea – Sunday Showdown: San Diego,Sunday Showdown: San Diego,Silver Age,Dorinthea,5th,https://fabtcg.com/decklists/dennis-pham-dorinthea-sunday-9am-showdown/,sunday showdown
United Kingdom,14 Feb 2026,Jacob Clements – Kano – Calling: San Diego,Calling: San Diego,Silver Age,Kano,1st,https://fabtcg.com/decklists/jacob-clements-kano-calling-san-diego-2026-silver-age/,calling
United States of America,14 Feb 2026,Michael Feng – Briar – Calling: San Diego,Calling: San Diego,Silver Age,Briar,2nd,https://fabtcg.com/decklists/michael-feng-briar-calling-san-diego-2026-silver-age/,calling
United States of America,14 Feb 2026,Jude Cornett – Enigma – Calling: San Diego,Calling: San Diego,Silver Age,Enigma,3rd,https://fabtcg.com/decklists/jude-cornett-enigma-calling-san-diego-2026-silver-age/,calling
United States of America,14 Feb 2026,Alexander Vore – Kano – Calling: San Diego,Calling: San Diego,Silver Age,Kano,3rd,https://fabtcg.com/decklists/alexander-vore-kano-calling-san-diego-2026-silver-age-2/,calling
United States of America,14 Feb 2026,Jonah Overholt – Dorinthea – Calling: San Diego,Calling: San Diego,Silver Age,Dorinthea,5th,https://fabtcg.com/decklists/jonah-overholt-dorinthea-calling-san-diego-2026-silver-age/,calling
United States of America,14 Feb 2026,Brodie Spurlock – Briar – Calling: San Diego,Calling: San Diego,Silver Age,Briar,5th,https://fabtcg.com/decklists/brodie-spurlock-briar-calling-san-diego-2026-silver-age/,calling
United States of America,14 Feb 2026,Evan Bridges – Kayo – Calling: San Diego,Calling: San Diego,Silver Age,Kayo,5th,https://fabtcg.com/decklists/evan-bridges-kayo-calling-san-diego-2026-silver-age/,calling
United States of America,14 Feb 2026,Taotao Chu – Nuu – Calling: San Diego,Calling: San Diego,Silver Age,Nuu,5th,https://fabtcg.com/decklists/taotao-chu-nuu-calling-san-diego-2026-silver-age/,calling
France,13 Feb 2026,Arthur Trehet – Dromai – Silver Age Spotlight,Silver Age Spotlight,Silver Age,Dromai,nao informado,https://fabtcg.com/decklists/arthur-trehet-dromai-silver-age-spotlight/,silver age spotlight
Spain,12 Feb 2026,Pablo Pintor – briar – Silver Age Spotlight,Silver Age Spotlight,Silver Age,Briar,nao informado,https://fabtcg.com/decklists/pablo-pintor-briar-silver-age-spotlight/,silver age spotlight
United States of America,11 Feb 2026,Majin Bae – Kano – Silver Age Spotlight,Silver Age Spotlight,Silver Age,Kano,nao informado,https://fabtcg.com/decklists/majin-bae-kano-silver-age-spotlight/,silver age spotlight
Canada,10 Feb 2026,Yuki Lee Bender – Lexi – Silver Age Spotlight,Silver Age Spotlight,Silver Age,Lexi,nao informado,https://fabtcg.com/decklists/yuki-lee-bender-lexi-silver-age-spotlight/,silver age spotlight
United Kingdom,08 Feb 2026,Jacob Clements – Kano – Sunday Showdown: London,Sunday Showdown: London,Silver Age,Kano,1st,https://fabtcg.com/decklists/jacob-clements-kano-sunday-showdown-london/,sunday showdown
France,08 Feb 2026,Arthur Trehet – Kano – Sunday Showdown: London,Sunday Showdown: London,Silver Age,Kano,2nd,https://fabtcg.com/decklists/arthur-trehet-kano-sunday-showdown-london/,sunday showdown
Germany,08 Feb 2026,Fabian Schunn – Kayo – Sunday Showdown: London,Sunday Showdown: London,Silver Age,Kayo,3rd,https://fabtcg.com/decklists/fabian-schunn-kayo-sunday-showdown-london/,sunday showdown
United Kingdom,08 Feb 2026,Ashkan Rashid-Sanaty – Kayo – Sunday Showdown: London,Sunday Showdown: London,Silver Age,Kayo,3rd,https://fabtcg.com/decklists/ashkan-rashid-sanaty-kayo-sunday-showdown-london/,sunday showdown
Poland,08 Feb 2026,Bartosz Ziemba – Briar – Sunday Showdown: London,Sunday Showdown: London,Silver Age,Briar,5th,https://fabtcg.com/decklists/bartosz-ziemba-briar-sunday-showdown-london/,sunday showdown
Switzerland,08 Feb 2026,Lars Seebacher – Fai – Sunday Showdown: London,Sunday Showdown: London,Silver Age,Fai,5th,https://fabtcg.com/decklists/lars-seebacher-fai-sunday-showdown-london/,sunday showdown
Belgium,08 Feb 2026,Matthias Verbeeck – Briar – Sunday Showdown: London,Sunday Showdown: London,Silver Age,Briar,5th,https://fabtcg.com/decklists/matthias-verbeeck-briar-sunday-showdown-london/,sunday showdown
Canada,08 Feb 2026,Noah Clark – Enigma – Sunday Showdown: London,Sunday Showdown: London,Silver Age,Enigma,5th,https://fabtcg.com/decklists/noah-clark-enigma-sunday-showdown-london/,sunday showdown
Netherlands,07 Feb 2026,Paul van Gijssel – Briar – Calling: London,Calling: London,Silver Age,Briar,1st,https://fabtcg.com/decklists/paul-van-gijssel-briar-calling-london/,calling
United Kingdom,07 Feb 2026,Kiran Lee – Dorinthea – Calling: London,Calling: London,Silver Age,Dorinthea,2nd,https://fabtcg.com/decklists/kiran-lee-dorinthea-calling-london/,calling
Sweden,07 Feb 2026,Stefan Karlsson – Olympia – Calling: London,Calling: London,Silver Age,Olympia,3rd,https://fabtcg.com/decklists/stefan-karlsson-olympia-calling-london/,calling
Belgium,07 Feb 2026,Niels Debosschere – Kayo – Calling: London,Calling: London,Silver Age,Kayo,3rd,https://fabtcg.com/decklists/niels-debosschere-kayo-calling-london/,calling
Italy,07 Feb 2026,Gianluigi Lia – Oldhim – Calling: London,Calling: London,Silver Age,Oldhim,5th,https://fabtcg.com/decklists/gianluigi-lia-oldhim-calling-london/,calling
United States of America,07 Feb 2026,Pierre-Nicolas Perrin – Dorinthea – Calling: London,Calling: London,Silver Age,Dorinthea,5th,https://fabtcg.com/decklists/pierre-nicolas-perrin-dorinthea-calling-london/,calling
Belgium,07 Feb 2026,Sammy Weckx – Kayo – Calling: London,Calling: London,Silver Age,Kayo,5th,https://fabtcg.com/decklists/sammy-weckx-kayo-calling-london/,calling
Germany,07 Feb 2026,"Kevin Gehringer – Bravo, Flattering Showman – Calling: London",Calling: London,Silver Age,"Bravo, Flattering Showman",5th,https://fabtcg.com/decklists/kevin-gehringer-bravo-flattering-showman-calling-london/,calling
Philippines,31 Jan 2026,"Justin Cu – Gravy Bones, Shipwrecked Looter – Battle Hardened: Bangkok",Battle Hardened: Bangkok,Classic Constructed,"Gravy Bones, Shipwrecked Looter",1st,https://fabtcg.com/decklists/justin-cu-gravy-bones-shipwrecked-looter-battle-hardened-bangkok-2026/,battle hardened
Thailand,31 Jan 2026,"Jaturone Chairungsri – Valda, Seismic Impact – Battle Hardened: Bangkok",Battle Hardened: Bangkok,Classic Constructed,"Valda, Seismic Impact",2nd,https://fabtcg.com/decklists/jaturone-chairungsri-valda-seismic-impact-battle-hardened-bangkok-2026/,battle hardened
Thailand,31 Jan 2026,"Wipu Junkeaw – Pleiades, Superstar – Battle Hardened: Bangkok",Battle Hardened: Bangkok,Classic Constructed,"Pleiades, Superstar",3rd,https://fabtcg.com/decklists/wipu-junkeaw-pleiades-superstar-battle-hardened-bangkok-2026/,battle hardened
Taiwan,31 Jan 2026,Xincheng Hou – Dash I/O – Battle Hardened: Bangkok,Battle Hardened: Bangkok,Classic Constructed,Dash I/O,3rd,https://fabtcg.com/decklists/xincheng-hou-dash-io-battle-hardened-bangkok-2026/,battle hardened
Singapore,31 Jan 2026,"Gordon Koh Koh – Cindra, Dracai of Retribution – Battle Hardened: Bangkok",Battle Hardened: Bangkok,Classic Constructed,"Cindra, Dracai of Retribution",5th,https://fabtcg.com/decklists/gordon-koh-koh-cindra-dracai-of-retribution-battle-hardened-bangkok-2026/,battle hardened
Thailand,31 Jan 2026,Worranun Suklim – Dash I/O – Battle Hardened: Bangkok,Battle Hardened: Bangkok,Classic Constructed,Dash I/O,5th,https://fabtcg.com/decklists/worranun-suklim-dash-io-battle-hardened-bangkok-2026/,battle hardened
Thailand,31 Jan 2026,"Chanon Puttaree – Prism, Awakener of Sol – Battle Hardened: Bangkok",Battle Hardened: Bangkok,Classic Constructed,"Prism, Awakener of Sol",5th,https://fabtcg.com/decklists/chanon-puttaree-prism-awakener-of-sol-battle-hardened-bangkok-2026-2/,battle hardened
Thailand,31 Jan 2026,"Jakob Kernstock – Arakni, Marionette – Battle Hardened: Bangkok",Battle Hardened: Bangkok,Classic Constructed,"Arakni, Marionette",5th,https://fabtcg.com/decklists/jakob-kernstock-arakni-marionette-battle-hardened-bangkok-2026/,battle hardened
United Kingdom,30 Jan 2026,"Jacob Clements – Arakni, Marionette – Battle Hardened: Rio de Janiero",Battle Hardened: Rio de Janiero,Classic Constructed,"Arakni, Marionette",1st,https://fabtcg.com/decklists/jacob-clements-arakni-marionette-cards-of-paradise-battle-hardened-rio-de-janeiro/,battle hardened
Brazil,30 Jan 2026,"Josh Oliveira – Gravy Bones, Shipwrecked Looter – Battle Hardened: Rio de Janiero",Battle Hardened: Rio de Janiero,Classic Constructed,"Gravy Bones, Shipwrecked Looter",2nd,https://fabtcg.com/decklists/josh-oliveira-gravy-bones-shipwrecked-looter-cards-of-paradise-battle-hardened-rio-de-janeiro/,battle hardened
United States of America,30 Jan 2026,"Brodie Spurlock – Kayo, Armed and Dangerous – Battle Hardened: Rio de Janiero",Battle Hardened: Rio de Janiero,Classic Constructed,"Kayo, Armed and Dangerous",3rd,https://fabtcg.com/decklists/brodie-spurlock-kayo-armed-and-dangerous-cards-of-paradise-battle-hardened-rio-de-janeiro/,battle hardened
Brazil,30 Jan 2026,"Miguel Ardovino – Gravy Bones, Shipwrecked Looter – Battle Hardened: Rio de Janiero",Battle Hardened: Rio de Janiero,Classic Constructed,"Gravy Bones, Shipwrecked Looter",3rd,https://fabtcg.com/decklists/miguel-ardovino-gravy-bones-shipwrecked-looter-cards-of-paradise-battle-hardened-rio-de-janeiro/,battle hardened
Brazil,30 Jan 2026,"Átila Lima – Verdance, Thorn of the Rose – Battle Hardened: Rio de Janiero",Battle Hardened: Rio de Janiero,Classic Constructed,"Verdance, Thorn of the Rose",5th,https://fabtcg.com/decklists/atila-lima-verdance-thorn-of-the-rose-cards-of-paradise-battle-hardened-rio-de-janeiro/,battle hardened
Brazil,30 Jan 2026,Ivan Taranto – Kassai of the Golden Sand – Battle Hardened: Rio de Janiero,Battle Hardened: Rio de Janiero,Classic Constructed,Kassai of the Golden Sand,5th,https://fabtcg.com/decklists/ivan-taranto-kassai-of-the-golden-sand-cards-of-paradise-battle-hardened-rio-de-janeiro/,battle hardened
Brazil,30 Jan 2026,"Breno Minghelli – Verdance, Thorn of the Rose – Battle Hardened: Rio de Janiero",Battle Hardened: Rio de Janiero,Classic Constructed,"Verdance, Thorn of the Rose",5th,https://fabtcg.com/decklists/breno-minghelli-verdance-thorn-of-the-rose-cards-of-paradise-battle-hardened-rio-de-janeiro/,battle hardened
Brazil,30 Jan 2026,"Max Dieckmann – Gravy Bones, Shipwrecked Looter – Battle Hardened: Rio de Janiero",Battle Hardened: Rio de Janiero,Classic Constructed,"Gravy Bones, Shipwrecked Looter",5th,https://fabtcg.com/decklists/max-dieckmann-gravy-bones-shipwrecked-looter-cards-of-paradise-battle-hardened-rio-de-janeiro/,battle hardened
Netherlands,24 Jan 2026,"Paul van Gijssel – Arakni, Marionette – Battle Hardened: Charleroi",Battle Hardened: Charleroi,Classic Constructed,"Arakni, Marionette",1st,https://fabtcg.com/decklists/paul-van-gijssel-arakni-marionette-battle-hardened-ludotrotter-charleroi/,battle hardened
Bulgaria,24 Jan 2026,"Valentin Popov – Verdance, Thorn of the Rose – Battle Hardened: Charleroi",Battle Hardened: Charleroi,Classic Constructed,"Verdance, Thorn of the Rose",2nd,https://fabtcg.com/decklists/valentin-popov-verdance-thorn-of-the-rose-battle-hardened-ludotrotter-charleroi/,battle hardened
Netherlands,24 Jan 2026,"Jimmy Nguyen – Arakni, Marionette – Battle Hardened: Charleroi",Battle Hardened: Charleroi,Classic Constructed,"Arakni, Marionette",3rd,https://fabtcg.com/decklists/jimmy-nguyen-arakni-marionette-battle-hardened-ludotrotter-charleroi/,battle hardened
Bulgaria,24 Jan 2026,"Bernar Aganchyan – Prism, Awakener of Sol – Battle Hardened: Charleroi",Battle Hardened: Charleroi,Classic Constructed,"Prism, Awakener of Sol",3rd,https://fabtcg.com/decklists/bernar-aganchyan-prism-awakener-of-sol-battle-hardened-ludotrotter-charleroi/,battle hardened
Belgium,24 Jan 2026,"Dominic Ally – Cindra, Dracai of Retribution – Battle Hardened: Charleroi",Battle Hardened: Charleroi,Classic Constructed,"Cindra, Dracai of Retribution",5th,https://fabtcg.com/decklists/dominic-ally-cindra-dracai-of-retribution-battle-hardened-ludotrotter-charleroi/,battle hardened
Bulgaria,24 Jan 2026,"Vasil Popov – Arakni, Marionette – Battle Hardened: Charleroi",Battle Hardened: Charleroi,Classic Constructed,"Arakni, Marionette",5th,https://fabtcg.com/decklists/vasil-popov-arakni-marionette-battle-hardened-ludotrotter-charleroi/,battle hardened
Netherlands,24 Jan 2026,"Sander Neeft – Arakni, Marionette – Battle Hardened: Charleroi",Battle Hardened: Charleroi,Classic Constructed,"Arakni, Marionette",5th,https://fabtcg.com/decklists/sander-neeft-arakni-marionette-battle-hardened-ludotrotter-charleroi/,battle hardened
Slovenia,24 Jan 2026,"Jean Luka Zorko – Gravy Bones, Shipwrecked Looter – Battle Hardened: Charleroi",Battle Hardened: Charleroi,Classic Constructed,"Gravy Bones, Shipwrecked Looter",5th,https://fabtcg.com/decklists/jean-luka-zorko-gravy-bones-shipwrecked-looter-battle-hardened-ludotrotter-charleroi/,battle hardened
United States of America,24 Jan 2026,"Michael Feng – Gravy Bones, Shipwrecked Looter – Battle Hardened: Portland",Battle Hardened: Portland,Classic Constructed,"Gravy Bones, Shipwrecked Looter",1st,https://fabtcg.com/decklists/michael-feng-gravy-bones-shipwrecked-looter-sat-0900-battle-hardened-cc-scg-con-portland/,battle hardened
United States of America,24 Jan 2026,"Jude Cornett – Kayo, Armed and Dangerous – Battle Hardened: Portland",Battle Hardened: Portland,Classic Constructed,"Kayo, Armed and Dangerous",2nd,https://fabtcg.com/decklists/jude-cornett-kayo-armed-and-dangerous-sat-0900-battle-hardened-cc-scg-con-portland/,battle hardened
United States of America,24 Jan 2026,"Brodie Spurlock – Kayo, Armed and Dangerous – Battle Hardened: Portland",Battle Hardened: Portland,Classic Constructed,"Kayo, Armed and Dangerous",3rd,https://fabtcg.com/decklists/brodie-spurlock-kayo-armed-and-dangerous-sat-0900-battle-hardened-cc-scg-con-portland/,battle hardened
United States of America,24 Jan 2026,"Corwin Benton – Cindra, Dracai of Retribution – Battle Hardened: Portland",Battle Hardened: Portland,Classic Constructed,"Cindra, Dracai of Retribution",3rd,https://fabtcg.com/decklists/corwin-benton-cindra-dracai-of-retribution-sat-0900-battle-hardened-cc-scg-con-portland/,battle hardened
United States of America,24 Jan 2026,"Luke Putz – Verdance, Thorn of the Rose – Battle Hardened: Portland",Battle Hardened: Portland,Classic Constructed,"Verdance, Thorn of the Rose",5th,https://fabtcg.com/decklists/luke-putz-verdance-thorn-of-the-rose-sat-0900-battle-hardened-cc-scg-con-portland/,battle hardened
United States of America,24 Jan 2026,"May Hayden – Gravy Bones, Shipwrecked Looter – Battle Hardened: Portland",Battle Hardened: Portland,Classic Constructed,"Gravy Bones, Shipwrecked Looter",5th,https://fabtcg.com/decklists/may-hayden-gravy-bones-shipwrecked-looter-sat-0900-battle-hardened-cc-scg-con-portland/,battle hardened
Canada,24 Jan 2026,Hayden Jeanson – Jarl Vetreiði – Battle Hardened: Portland,Battle Hardened: Portland,Classic Constructed,Jarl Vetreiði,5th,https://fabtcg.com/decklists/hayden-jeanson-jarl-vetreii-sat-0900-battle-hardened-cc-scg-con-portland/,battle hardened
United States of America,24 Jan 2026,"Abtin RAVANIPOUR – Vynnset, Iron Maiden – Battle Hardened: Portland",Battle Hardened: Portland,Classic Constructed,"Vynnset, Iron Maiden",5th,https://fabtcg.com/decklists/abtin-ravanipour-vynnset-iron-maiden-sat-0900-battle-hardened-cc-scg-con-portland/,battle hardened
Canada,20 Jan 2026,"Yuki Lee Bender – Arakni, Marionette – Masterclass",Masterclass,Classic Constructed,"Arakni, Marionette",nao informado,https://fabtcg.com/decklists/yuki-lee-bender-arakni-marionette-masterclass/,masterclass
United States of America,18 Jan 2026,Jonathan Michaud – Briar – Battle Hardened: Columbus,Battle Hardened: Columbus,Silver Age,Briar,1st,https://fabtcg.com/decklists/jonathan-michaud-briar-battle-hardened-columbus/,battle hardened
Canada,18 Jan 2026,Cubi Nguyen – Enigma – Battle Hardened: Columbus,Battle Hardened: Columbus,Silver Age,Enigma,2nd,https://fabtcg.com/decklists/cubi-nguyen-enigma-battle-hardened-columbus/,battle hardened
Canada,18 Jan 2026,Hayden Jeanson – Oldhim – Battle Hardened: Columbus,Battle Hardened: Columbus,Silver Age,Oldhim,3rd,https://fabtcg.com/decklists/hayden-jeanson-oldhim-battle-hardened-columbus/,battle hardened
United States of America,18 Jan 2026,Abigail Welday – Kano – Battle Hardened: Columbus,Battle Hardened: Columbus,Silver Age,Kano,3rd,https://fabtcg.com/decklists/abigail-welday-kano-battle-hardened-columbus/,battle hardened
United States of America,18 Jan 2026,Connor Bryant – Lexi – Battle Hardened: Columbus,Battle Hardened: Columbus,Silver Age,Lexi,5th,https://fabtcg.com/decklists/connor-bryant-lexi-battle-hardened-columbus/,battle hardened
United States of America,18 Jan 2026,Logan Zarnick – Oldhim – Battle Hardened: Columbus,Battle Hardened: Columbus,Silver Age,Oldhim,5th,https://fabtcg.com/decklists/logan-zarnick-oldhim-battle-hardened-columbus/,battle hardened
United States of America,18 Jan 2026,Michael Godfrey – Chane – Battle Hardened: Columbus,Battle Hardened: Columbus,Silver Age,Chane,5th,https://fabtcg.com/decklists/michael-godfrey-chane-battle-hardened-columbus/,battle hardened
United States of America,18 Jan 2026,Mara Faris – Chane – Battle Hardened: Columbus,Battle Hardened: Columbus,Silver Age,Chane,5th,https://fabtcg.com/decklists/mara-faris-chane-battle-hardened-columbus/,battle hardened
Canada,17 Jan 2026,"Michael Jaszczur – Florian, Rotwood Harbinger – Calling: Columbus",Calling: Columbus,Classic Constructed,"Florian, Rotwood Harbinger",1st,https://fabtcg.com/decklists/michael-jaszczur-florian-rotwood-harbinger-calling-columbus/,calling
United States of America,17 Jan 2026,"Lucas Oswald – Arakni, Marionette – Calling: Columbus",Calling: Columbus,Classic Constructed,"Arakni, Marionette",2nd,https://fabtcg.com/decklists/lucas-oswald-arakni-marionette-calling-columbus/,calling
United States of America,17 Jan 2026,"Jeremy Chen – Oscilio, Constella Intelligence – Calling: Columbus",Calling: Columbus,Classic Constructed,"Oscilio, Constella Intelligence",3rd,https://fabtcg.com/decklists/jeremy-chen-oscilio-constella-intelligence-calling-columbus/,calling
United States of America,17 Jan 2026,"Majin Bae – Oscilio, Constella Intelligence – Calling: Columbus",Calling: Columbus,Classic Constructed,"Oscilio, Constella Intelligence",3rd,https://fabtcg.com/decklists/majin-bae-oscilio-constella-intelligence-calling-columbus/,calling
United States of America,17 Jan 2026,"William Pistel – Gravy Bones, Shipwrecked Looter – Calling: Columbus",Calling: Columbus,Classic Constructed,"Gravy Bones, Shipwrecked Looter",5th,https://fabtcg.com/decklists/william-pistel-gravy-bones-shipwrecked-looter-calling-columbus/,calling
United States of America,17 Jan 2026,"Damien Riggins – Pleiades, Superstar – Calling: Columbus",Calling: Columbus,Classic Constructed,"Pleiades, Superstar",5th,https://fabtcg.com/decklists/damien-riggins-pleiades-superstar-calling-columbus/,calling
Canada,17 Jan 2026,"Nghia Tran – Katsu, the Wanderer – Calling: Columbus",Calling: Columbus,Classic Constructed,"Katsu, the Wanderer",5th,https://fabtcg.com/decklists/nghia-tran-katsu-the-wanderer-calling-columbus/,calling
United States of America,17 Jan 2026,"Thomas Johnson-Averette – Pleiades, Superstar – Calling: Columbus",Calling: Columbus,Classic Constructed,"Pleiades, Superstar",5th,https://fabtcg.com/decklists/thomas-johnson-averette-pleiades-superstar-calling-columbus/,calling
Poland,11 Jan 2026,"Filip Mikołajczyk – Cindra, Dracai of Retribution – Battle Hardened: Gdańsk",Battle Hardened Gdańsk,Classic Constructed,"Cindra, Dracai of Retribution",1st,https://fabtcg.com/decklists/filip-mikoajczyk-cindra-dracai-of-retribution-battle-hardened-gdansk/,battle hardened
Finland,11 Jan 2026,"Pauli Viimaranta – Florian, Rotwood Harbinger – Battle Hardened: Gdańsk",Battle Hardened: Gdańsk,Classic Constructed,"Florian, Rotwood Harbinger",2nd,https://fabtcg.com/decklists/pauli-viimaranta-florian-rotwood-harbinger-battle-hardened-gdansk/,battle hardened
Poland,11 Jan 2026,"Mariusz Suchanecki – Fang, Dracai of Blades – Battle Hardened: Gdańsk",Battle Hardened: Gdańsk,Classic Constructed,"Fang, Dracai of Blades",3rd,https://fabtcg.com/decklists/mariusz-suchanecki-fang-dracai-of-blades-battle-hardened-gdansk/,battle hardened
